position,title
Q904139,President
Q7925053,Vice President
Q778651,Prime Minister
Q105320551,Deputy Prime Minister
Q113947527,Minister of Agriculture and Forestry
Q113947578,Minister of Finance
Q113470653,Minister of Foreign Affairs
Q113947529,Minister of Health
Q113947545,Minister of Industry and Commerce
Q113947582,Minister of Justice
Q113947585,Minister of Natural Resources and Environment
Q113947546,Minister of Public Security
Q113947587,Minister of Science and Technology
Q7241345,President of the National Assembly
